Machine Tyoe,Air te1perature [K],Process temperature [K],Rotational speed [rp1],Torque [N1],Tool wear [1in],Machine Failure
1,298.5,308.6,1344,53,114,1
1,297.9,308.5,1300,53,172,1
1,297.3,308.6,1431,53,160,0
1,297,307.9,1422,53,115,0
0,298.4,308.7,1344,52.9,130,1
0,298.3,308.5,1416,52.7,151,1
0,298.8,309.1,1393,52.6,167,0
0,298.8,309.1,1350,52.5,111,0
0,297.4,309.3,1365,52.4,76,0
0,298.3,308.1,1412,52.3,218,1
0,297.4,309.4,1296,52.3,96,0
1,299,309,1351,52.2,44,1
1,297.5,308.4,1350,52.2,157,0
0,297.4,308.4,1341,52.2,49,0
0,296.9,307.8,1285,52.1,100,0
0,296.8,307.6,1368,52,140,0
1,297.6,308.4,1391,51.9,218,1
1,297.4,308.2,1401,51.9,117,1
0,297.4,308.6,1439,51.9,188,0
0,298.2,308.4,1398,51.8,76,1
1,297.4,308.3,1405,51.7,108,1
1,298,308.1,1339,51.6,197,1
0,298.8,308.9,1398,51.5,0,1
0,298,309.6,1403,51.3,122,0
1,298.6,309.1,1339,51.1,34,0
1,298.1,308.5,1372,51.1,116,1
0,297.7,309.7,1440,51.1,191,0
0,296.8,308,1453,51,24,0
0,297.6,308.7,1319,50.9,141,1
0,298.8,309.1,1368,50.8,115,0
0,298.2,308.1,1462,50.8,27,1
0,298,308.6,1313,50.8,170,1
0,298.9,309.2,1379,50.7,106,1
0,299,308.8,1310,50.7,112,1
0,298,308,1479,50.7,70,1
0,297.5,309.6,1312,50.7,0,0
1,297.3,308.6,1471,50.7,157,0
0,296.7,308,1451,50.7,197,0
1,296.9,308,1409,50.7,43,0
0,297.6,309.5,1373,50.6,55,0
0,298.6,308.4,1407,50.5,164,1
0,297.9,309.8,1461,50.5,38,0
0,297.6,309.6,1278,50.4,2,0
0,297.9,308.1,1393,50.3,193,1
1,297.4,308.7,1425,50.3,152,0
0,298.2,308.2,1436,50.2,43,1
0,296.6,307.4,1333,50.2,177,0
0,297.4,308.4,1394,50.1,213,0
0,297.5,309.4,1357,50.1,137,0
0,297.6,309.1,1394,50,62,0
1,296.4,307.4,1416,50,210,0
0,298.8,308.8,1445,49.9,4,1
0,298.2,308.3,1475,49.9,47,1
0,298.2,308.4,1477,49.9,72,1
0,298.2,308.3,1304,49.8,45,1
1,298.1,308.1,1390,49.8,85,1
0,297.4,309.1,1478,49.8,150,0
0,297.6,309.4,1326,49.8,199,0
0,297.6,309.6,1501,49.8,222,1
0,297.4,308.4,1392,49.7,174,0
0,297.5,309.3,1459,49.7,201,0
1,297.6,308.8,1357,49.7,104,0
1,298.7,308.4,1430,49.6,135,1
1,298.3,310.1,1389,49.6,75,0
0,298.3,308.6,1432,49.5,91,1
1,296.3,307.3,1368,49.5,10,0
0,298.1,308.5,1498,49.4,5,0
0,298.8,308.6,1449,49.4,150,1
0,298.3,308.4,1329,49.2,166,1
0,297.8,309.7,1341,49.2,208,0
1,298.8,309.1,1368,49.1,117,0
0,298.8,309.1,1489,49.1,128,1
1,298,308.2,1395,49.1,206,1
1,298.2,308.3,1522,49.1,22,1
0,297.6,309.1,1449,49.1,174,0
0,297.8,309.9,1351,49,181,0
0,296.3,307.3,1444,49,13,0
1,297.6,308.4,1398,48.9,63,1
0,297.7,309.3,1400,48.9,147,0
0,297.8,309,1410,48.8,23,0
0,296.8,307.9,1448,48.8,31,0
0,296.9,308.1,1422,48.7,215,0
0,296.8,307.6,1304,48.7,142,0
1,298.8,309.2,1452,48.6,98,0
0,297.5,308.3,1388,48.6,27,1
1,296.2,307.2,1389,48.6,7,0
0,298.8,309.2,1372,48.5,120,0
0,298.8,308.7,1445,48.5,70,1
0,297.5,308.9,1459,48.5,193,0
0,298.6,309.2,1542,48.4,42,1
0,299,309.4,1419,48.3,91,0
1,297.5,309.4,1433,48.3,139,0
1,297.7,308.9,1531,48.3,84,0
0,296.8,308.1,1356,48.3,201,0
0,296.8,307.6,1434,48.3,138,0
1,299.1,309.5,1339,48.2,86,0
0,298,308.2,1357,48.2,7,1
0,297.6,308.7,1455,48.2,145,1
0,297.5,308.6,1388,48.2,203,0
0,297.8,309.4,1445,48.2,10,0
0,297.6,309.6,1419,48.2,215,0
1,298.1,308.2,1342,48.1,54,1
1,297.6,309.2,1442,48.1,0,0
1,298.3,308.3,1379,48,181,1
0,297.5,308.5,1335,48,131,1
0,298.8,308.9,1461,47.9,206,1
0,297.7,309.6,1480,47.9,18,0
0,297.9,309.5,1390,47.9,127,0
0,297.6,308.3,1438,47.8,84,1
0,296.6,307.4,1465,47.8,187,0
0,298,309.9,1403,47.7,43,0
0,297.6,308.9,1449,47.7,209,0
0,298.9,308.9,1422,47.6,15,1
0,298.2,308.4,1424,47.6,179,1
0,297.3,308.7,1478,47.6,98,0
0,298.3,310,1460,47.6,101,0
1,298.8,309.1,1472,47.5,125,0
0,298.9,308.9,1450,47.5,9,1
0,298.1,308.2,1390,47.5,33,1
0,296.7,307.8,1400,47.5,3,0
0,296.7,307.8,1382,47.5,37,0
0,297.5,308.9,1390,47.4,187,0
1,297,307.9,1412,47.4,112,0
0,297.8,309.2,1372,47.3,15,0
0,297.9,308.5,1305,47.2,155,1
0,298.4,308.6,1433,47.1,101,1
0,297.8,308.4,1374,47.1,150,1
0,298.3,310,1419,47.1,105,0
0,296.3,307.4,1465,47.1,215,0
0,298.4,308.2,1471,47,214,1
1,296.9,308.4,1450,46.9,186,0
1,298.8,308.8,1497,46.8,72,1
0,298.8,308.9,1379,46.7,204,1
0,298.1,308.4,1436,46.7,103,1
0,297.6,308.7,1460,46.7,150,0
0,296.8,307.6,1398,46.7,144,0
1,298.6,309.2,1311,46.6,44,0
0,297.5,308.5,1393,46.6,56,0
0,297.4,308.7,1468,46.6,94,0
0,297.6,309.6,1428,46.6,13,0
0,298.9,308.6,1413,46.5,122,1
0,297.4,308.2,1471,46.5,25,1
0,297.4,308.6,1439,46.4,114,0
0,298.2,308.7,1408,46.3,3,0
0,298.8,309.1,1418,46.3,133,0
0,297.8,308.5,1561,46.3,194,1
1,297.4,308.9,1500,46.3,137,0
0,296.7,308.1,1528,46.3,203,0
1,296.9,308.1,1440,46.3,64,0
1,298.3,308.5,1434,46.2,148,1
0,298,308.5,1395,46.2,122,1
1,297.6,309.3,1464,46.2,218,0
0,297.5,308.7,1443,46.2,110,0
0,297.5,308.6,1440,46.1,84,0
1,298.4,308.1,1495,46,203,1
0,298.1,308,1426,46,61,1
1,297.6,308.4,1507,46,51,1
0,296.7,307.8,1453,46,33,0
0,297.3,308.6,1297,45.9,184,0
0,297.4,309.4,1401,45.9,49,0
0,298.3,310.1,1523,45.9,99,0
1,297.6,308.8,1416,45.9,101,0
0,296.8,308.3,1506,45.9,182,0
1,296.8,307.5,1470,45.9,132,0
0,297.4,308.6,1420,45.8,120,0
0,298.8,308.6,1431,45.7,97,1
0,298.7,308.5,1420,45.7,143,1
0,297.3,308.4,1430,45.7,15,0
0,296.9,307.6,1452,45.7,122,0
1,298.7,309.2,1410,45.6,47,0
0,298.1,308.4,1438,45.6,105,1
0,297.4,309.2,1420,45.6,193,0
1,297.6,309,1427,45.6,179,0
0,298.9,309.1,1452,45.5,196,1
0,298,308.2,1469,45.5,214,1
0,297.4,309.4,1466,45.5,53,0
0,297.4,309.4,1473,45.5,94,0
1,297.8,309.1,1424,45.5,2,0
0,296.6,307.5,1439,45.5,199,0
0,298.8,309.1,1362,45.4,113,0
1,297.6,308.6,1414,45.4,138,1
0,297.5,309.4,1443,45.4,70,0
0,297.6,309,1487,45.4,64,0
0,296.8,307.9,1420,45.4,70,0
0,297.5,309.4,1368,45.3,129,0
0,298.3,310.1,1408,45.3,78,0
0,296.9,308.1,1435,45.3,62,0
1,299,309,1419,45.2,27,1
1,297.5,308.3,1459,45.2,34,1
1,298,309.9,1445,45.2,55,0
0,299,309.1,1394,45.1,179,0
0,297.4,308.5,1469,45.1,63,0
0,296.6,307.4,1368,45.1,185,0
0,298.4,308.6,1304,45,158,1
0,297.9,309.9,1472,45,183,0
0,298.4,308.7,1386,44.9,135,1
1,297.5,308.6,1472,44.9,198,0
0,297.4,308.5,1501,44.9,20,0
0,297.5,308.6,1552,44.9,77,0
0,298.8,309.3,1450,44.8,63,0
0,298.1,308.5,1392,44.8,111,1
1,297.5,308.1,1469,44.8,5,1
0,297.5,309.2,1426,44.8,24,0
1,296.9,308,1497,44.8,57,0
0,298.9,308.7,1433,44.7,108,1
1,297.5,308.5,1484,44.7,40,0
0,298.3,310,1507,44.7,73,0
0,297.5,308.9,1427,44.7,135,0
0,297.5,308.9,1390,44.6,140,0
0,297.7,309.2,1391,44.5,159,0
0,296.9,308,1343,44.5,15,0
0,298.9,309.1,1369,44.4,198,1
0,298.8,308.8,1523,44.4,55,1
1,297.4,308.6,1434,44.4,193,0
0,296.8,307.6,1338,44.4,128,0
0,298.6,309.1,1423,44.3,29,0
0,297.6,308.3,1400,44.3,43,1
0,297.5,308.7,1429,44.3,201,0
1,296.9,308.1,1483,44.3,219,0
0,299.1,309.4,1439,44.2,82,1
0,297.3,308.8,1499,44.2,134,0
0,298.2,310,1433,44.2,68,0
1,298.9,309.2,1412,44.1,140,0
0,298.8,308.9,1466,44.1,184,0
0,298,308.2,1442,44.1,204,1
1,298,308.6,1453,44.1,165,1
0,297.7,309.4,1392,44.1,140,0
0,298.4,308.6,1477,44,124,1
0,297.5,308.9,1469,44,185,0
0,299,309,1436,43.9,20,1
0,297.3,308.3,1484,43.9,13,0
0,298.3,310,1442,43.9,110,0
0,298.3,309.9,1463,43.9,116,0
0,298.8,309,1497,43.8,147,0
1,298.4,308.2,1468,43.8,2,1
0,298,308.1,1440,43.7,37,1
1,298.1,308.1,1456,43.7,80,1
1,297.5,309.5,1448,43.7,46,0
1,297.7,309.4,1461,43.7,142,0
0,296.8,308.1,1492,43.7,222,0
1,298.5,308.3,1440,43.6,5,1
0,297.4,308.3,1502,43.6,169,0
0,298.7,308.6,1499,43.5,84,1
0,298.4,308.2,1478,43.5,206,1
0,298.2,308.1,1382,43.5,37,1
1,297.8,308.4,1479,43.5,143,1
0,297.5,309.3,1404,43.5,195,0
0,297.5,309,1470,43.5,191,0
1,296.5,307.4,1565,43.5,194,0
0,298.8,308.7,1450,43.4,66,1
0,298.9,308.7,1546,43.4,114,1
1,298.3,308.4,1539,43.4,69,1
1,297.6,308.5,1490,43.4,154,0
0,297.4,308.7,1433,43.4,116,0
0,297.6,309.2,1390,43.3,221,0
1,297.8,309,1434,43.3,96,0
0,296.9,307.7,1424,43.3,120,0
1,298.7,308.4,1441,43.2,132,1
1,297.6,308.9,1433,43.2,206,0
0,297.7,309,1538,43.2,30,0
0,298.2,308.4,1379,43.1,65,1
0,298.3,308.4,1408,43.1,177,1
1,298.1,310,1393,43.1,65,0
0,299.1,309,1450,43,40,1
0,298.2,308.2,1469,43,88,1
0,297.4,308.3,1431,43,113,1
0,297.4,309.3,1516,43,83,0
0,298.4,308.3,1458,42.9,15,1
0,298.3,308.5,1453,42.9,89,1
0,298.2,308.4,1478,42.9,183,1
1,297.3,308.6,1456,42.9,122,0
0,297.8,309.7,1394,42.9,206,0
0,296.8,307.8,1373,42.9,74,0
1,298.1,308.6,1551,42.8,0,0
0,297.5,308.4,1511,42.8,209,0
0,297.4,309.2,1584,42.8,186,0
0,296.6,307.4,1436,42.8,156,0
0,298.9,309.3,1375,42.7,58,0
0,298.4,308.3,1422,42.7,186,1
0,296.6,307.5,1485,42.7,204,0
1,298,308.2,1466,42.6,2,1
0,298,308.3,1473,42.6,107,1
0,297.4,308.3,1490,42.6,164,0
0,297.3,308.6,1486,42.6,105,0
1,297.8,309.1,1432,42.6,17,0
0,298.1,308.6,1558,42.4,14,0
0,298.8,309.1,1477,42.4,158,0
1,298.6,308.4,1391,42.4,169,1
0,297.3,308.8,1419,42.4,139,0
1,297.5,309.5,1553,42.4,60,0
1,297.7,309,1531,42.4,38,0
0,297.4,308.6,1476,42.3,107,0
1,296.6,307.4,1544,42.3,170,0
0,298.2,308.4,1385,42.2,98,1
1,297.5,308.5,1496,42.2,22,0
1,297.4,309.4,1539,42.2,134,0
0,298.4,310.1,1455,42.2,94,0
1,297.4,308.5,1600,42.1,190,0
0,297.7,309.1,1479,42.1,58,0
0,296.5,307.3,1501,42.1,162,0
0,297.4,308.3,1412,42,111,1
0,297.3,308.6,1431,42,109,0
1,297.1,308.4,1421,42,165,0
1,298.1,308.6,1425,41.9,11,0
1,298.8,308.6,1486,41.9,92,1
1,297.8,308.5,1488,41.9,196,1
1,297.6,308.4,1398,41.9,215,1
0,297.5,308.5,1446,41.9,32,0
1,297.6,309.3,1529,41.9,3,0
0,298,308.6,1526,41.8,160,1
1,297.4,309,1497,41.8,144,0
0,296.9,308.4,1390,41.8,184,0
1,297.6,308.7,1419,41.7,81,0
1,297.9,310,1439,41.7,185,0
0,297.5,309.3,1525,41.7,235,0
0,296.8,308,1497,41.7,231,0
0,296.7,307.6,1474,41.7,148,0
0,298.3,309.9,1507,41.6,112,0
1,296.3,307.3,1498,41.6,15,0
0,297.2,308.5,1550,41.5,125,0
0,296.6,307.4,1406,41.5,189,0
0,296.3,307.3,1439,41.5,208,0
0,297.7,308.5,1501,41.4,201,1
0,297.4,309,1468,41.4,156,0
0,298.8,308.9,1455,41.3,208,1
0,297.4,308.6,1459,41.3,196,0
1,297.6,309.3,1415,41.3,17,0
0,298.9,308.7,1558,41.2,110,1
0,298.3,308.5,1575,41.2,105,1
0,297.4,308.3,1493,41.2,43,0
0,297.8,309,1456,41.2,0,0
0,298.8,308.4,1473,41.1,128,1
0,297.4,309.1,1380,41.1,152,0
1,298.4,308.2,1584,41,191,1
0,297.7,309.7,1498,41,176,0
1,298.4,308.6,1527,40.9,96,1
1,297.6,308.5,1552,40.9,90,1
0,298.1,310,1553,40.9,49,0
0,297.7,308.9,1479,40.9,87,0
0,296.7,308.1,1450,40.9,195,0
0,298.9,308.9,1453,40.8,11,1
1,298.1,308.1,1452,40.8,56,1
1,297.9,308.5,1449,40.8,157,1
0,297.5,308.3,1544,40.8,37,1
0,298.8,309.1,1512,40.7,156,0
0,298.7,308.5,1467,40.7,106,1
0,298.1,308.2,1485,40.7,57,1
0,298.8,308.8,1555,40.6,61,1
0,297.9,308.4,1646,40.6,175,1
0,297.5,309.4,1503,40.6,144,0
1,298.8,308.8,1441,40.5,63,1
0,298,308.2,1489,40.4,11,1
0,298.1,308.1,1484,40.4,59,1
0,297.5,308.5,1546,40.4,129,1
0,297.4,309.2,1437,40.4,117,0
1,297.7,309,1504,40.4,35,0
0,296.8,308,1536,40.4,217,0
0,296.8,308,1584,40.4,227,0
0,298.8,309.1,1513,40.3,160,0
0,298.3,308.6,1548,40.3,140,1
0,298.1,308.6,1527,40.2,16,0
0,298.1,308.4,1335,40.2,109,1
1,297.6,308.3,1538,40.2,0,1
0,297.4,308.7,1402,40.2,114,0
0,297.6,309.4,1491,40.2,231,0
0,297.6,309,1413,40.2,51,0
0,297.6,308.8,1539,40.2,72,0
0,299,309,1469,40.1,13,1
0,298.4,308.4,1515,40.1,179,1
0,297.7,308.8,1515,40.1,82,0
0,296.8,307.7,1565,40.1,89,0
0,298.2,308.7,1408,40,9,0
1,298.4,308.2,1499,40,211,1
0,297.8,308.5,1448,40,192,1
1,297.5,309.2,1530,40,206,0
0,296.8,307.6,1513,40,130,0
0,296.6,307.3,1474,40,158,0
0,298.4,308.3,1473,39.9,184,1
0,297.8,308.4,1512,39.9,181,1
0,297.5,308.4,1528,39.9,160,0
1,296.6,307.5,1482,39.9,153,0
1,297.6,308.5,1466,39.7,34,0
0,297.9,309.2,1478,39.7,10,0
1,297.6,308.8,1453,39.7,69,0
0,296.9,307.7,1550,39.7,124,0
0,298,308,1520,39.6,51,1
1,297.3,308.3,1301,39.6,5,0
0,298.2,308.6,1433,39.5,7,0
1,298.9,308.9,1487,39.5,30,1
1,298.8,308.7,1498,39.5,89,1
0,297.5,308.4,1489,39.5,96,1
1,297.3,309,1556,39.5,168,0
0,297.4,308.1,1474,39.4,20,1
0,297.5,309.3,1479,39.4,22,0
0,296.7,307.8,1505,39.4,236,0
0,296.8,308,1510,39.4,29,0
1,297.5,309.4,1482,39.3,112,0
0,297.7,309.1,1563,39.3,56,0
0,298.8,309.1,1439,39.2,104,0
0,297.4,308.5,1389,39.2,54,0
0,297.4,309,1505,39.2,209,0
0,297.5,308.7,1416,39.2,74,0
0,296.9,308.3,1474,39.2,177,0
0,296.7,307.8,1468,39.2,35,0
0,299.1,309.5,1512,39,75,0
0,297.5,308.6,1452,39,72,0
0,297.5,308.8,1477,39,127,0
0,297.6,309.1,1503,38.9,157,0
0,297.5,309.3,1470,38.8,197,0
0,297.4,309.2,1428,38.8,26,0
1,297.9,309.6,1515,38.8,124,0
0,297.7,309.1,1435,38.8,165,0
0,296.9,308.3,1513,38.8,189,0
0,298.1,308.3,1495,38.7,188,1
0,299,309.1,1523,38.6,177,0
0,299,308.6,1587,38.6,124,1
0,296.6,307.4,1521,38.6,173,0
0,297.3,308.3,1538,38.5,47,0
0,298.3,308.6,1499,38.3,142,1
0,297.8,308.4,1622,38.3,134,1
1,297.6,308.4,1569,38.3,93,1
0,297.7,309.1,1477,38.3,60,0
0,296.8,308,1561,38.3,9,0
1,298.8,309,1592,38.2,169,0
0,298.2,308.2,1446,38.2,61,1
0,297.8,308.4,1550,38.2,185,1
0,297.5,308.2,1563,38.2,15,1
1,297.5,308.3,1521,38.2,74,1
1,297.3,308.3,1501,38.2,2,0
0,297.7,309,1507,38.2,94,0
0,296.9,308.3,1555,38.2,175,0
0,296.5,307.2,1481,38.2,160,0
0,298.3,308.6,1447,38.1,146,1
0,297.5,308.4,1604,38.1,106,1
0,297.6,308.6,1491,38.1,152,0
1,297.6,308.9,1479,38.1,182,0
0,298.8,308.9,1402,37.9,2,1
0,298.4,308.5,1490,37.9,110,1
0,298,308.2,1514,37.9,9,1
0,298.1,308.2,1482,37.9,17,1
0,297.6,308.7,1622,37.9,79,0
0,297.4,309,1570,37.9,154,0
0,297.4,309.2,1459,37.9,191,0
0,296.6,307.5,1582,37.9,197,0
0,297.4,308.5,1495,37.8,211,0
0,296.9,307.8,1549,37.8,104,0
0,297.4,308.3,1571,37.7,162,0
0,297.7,309.7,1591,37.7,196,0
0,297.5,308.9,1471,37.7,197,0
0,297.3,308.6,1586,37.7,155,0
1,298.4,308.2,1463,37.6,188,1
0,298.3,310.1,1509,37.6,85,0
0,297.5,308.7,1453,37.6,112,0
0,297.3,308.6,1499,37.6,147,0
1,296.9,307.8,1544,37.6,109,0
0,296.8,307.6,1588,37.6,126,0
0,297.5,309.3,1564,37.5,20,0
0,297.4,308.2,1533,37.4,115,1
0,297.3,309,1548,37.4,171,0
0,298.2,309.7,1585,37.4,118,0
1,297.4,308.8,1628,37.4,144,0
0,296.7,307.6,1516,37.4,146,0
1,299,309.4,1561,37.3,70,1
1,297.6,309.6,1530,37.3,10,0
0,297.8,309.7,1547,37.3,25,0
0,298.4,310,1554,37.3,103,0
0,298,309.6,1536,37.3,120,0
1,297.5,308.3,1622,37.2,103,1
0,297.4,308.4,1582,37.2,68,0
0,296.5,307.3,1566,37.2,164,0
1,298.3,308.6,1589,37.1,137,1
1,298.3,308.5,1629,37.1,170,1
0,298,308.1,1454,37.1,35,1
0,297.5,308.6,1596,37.1,30,0
0,298,308,1524,37,49,1
1,297.4,309,1520,37,147,0
0,296.9,307.8,1605,37,84,0
0,297.6,308.3,1623,36.9,61,1
1,297.6,308.6,1595,36.9,25,0
0,297.7,309.3,1559,36.9,145,0
0,297.4,308.7,1545,36.9,125,0
0,297.5,308.3,1596,36.8,77,1
1,297.4,309.3,1499,36.8,88,0
0,297.8,309.8,1533,36.8,198,0
0,297.7,309.1,1562,36.8,172,0
0,296.7,308,1535,36.8,210,0
1,298.9,309.2,1581,36.7,101,0
0,298.4,308.6,1591,36.7,122,1
1,297.6,308.3,1467,36.7,68,1
0,297.5,309.4,1517,36.7,233,0
1,296.8,307.5,1516,36.7,135,0
1,298,308.1,1552,36.6,190,1
1,297.8,308.4,1579,36.6,152,1
0,298.1,308,1626,36.5,83,1
1,297.8,309.4,1495,36.5,132,0
0,297.3,308.3,1504,36.3,45,0
0,298.3,310.1,1545,36.3,90,0
1,296.7,307.8,1537,36.3,233,0
0,298.4,308.2,1528,36.2,196,1
0,297.4,308.7,1510,36.2,92,0
0,297.6,309.5,1617,36.2,42,0
0,297.6,309.5,1569,36.2,63,0
0,297.4,308.6,1609,36.2,116,0
0,298.8,308.6,1511,36.1,157,1
0,298.5,308.4,1612,36.1,174,1
0,298.4,308.7,1523,36.1,126,1
0,298.3,308.5,1539,36.1,168,1
0,297.5,308.4,1587,36.1,98,1
0,297.5,309.3,1563,36.1,100,0
0,298.2,308.3,1568,36,92,1
0,297.9,308.6,1468,36,168,1
1,297.4,309.3,1564,36,126,0
1,297.4,309.1,1582,35.9,180,0
0,298,308.2,1620,35.8,5,1
0,297.5,309.4,1497,35.8,44,0
1,297.6,309.6,1592,35.8,57,0
0,297.7,309.7,1570,35.8,160,0
1,298.4,308.5,1636,35.7,107,1
0,297.3,308.6,1511,35.7,120,0
1,297.8,308.3,1567,35.6,131,1
0,298.3,308.1,1586,35.5,0,1
0,296.4,307.4,1586,35.5,0,0
0,297.4,309.4,1620,35.4,51,0
0,296.8,307.9,1611,35.4,72,0
1,299,309,1575,35.3,47,1
0,298.5,308.7,1609,35.3,117,1
0,298.7,308.5,1544,35.2,159,1
0,297.7,309.6,1529,35.2,153,0
1,297.7,309.6,1596,35.2,173,0
0,298.4,310.1,1533,35.2,92,0
0,298.7,309,1565,35.1,152,0
0,297.8,308.4,1512,35.1,138,1
0,297.5,309.1,1515,35.1,213,0
0,296.5,307.5,1566,35.1,206,0
0,299,309.1,1592,35,200,1
1,298.4,308.2,1610,35,24,1
0,298.4,308.7,1588,35,99,1
0,298.4,308.6,1609,35,103,1
1,297.4,309.1,1463,35,183,0
0,297.6,309.3,1610,35,6,0
1,297.4,309.3,1622,35,123,0
0,296.9,307.8,1571,35,102,0
0,296.6,307.4,1631,35,168,0
1,296.6,307.5,1566,35,201,0
0,298.2,308.4,1512,34.9,181,1
0,297.6,309.5,1549,34.9,68,0
0,298.3,308.6,1570,34.8,175,1
0,297.5,308.9,1554,34.8,204,0
1,298.8,309.1,1559,34.7,95,1
0,298.2,308.1,1618,34.7,39,1
0,297.9,309.2,1577,34.7,5,0
0,296.8,308.2,1643,34.7,191,0
1,296.7,307.6,1547,34.7,150,0
0,298.2,308.4,1666,34.6,74,1
0,298.2,308.4,1678,34.6,81,1
1,297.6,308.3,1567,34.6,71,1
1,297.4,308.3,1535,34.6,51,0
0,297.5,309.4,1650,34.6,142,0
0,296.7,307.8,1646,34.6,238,0
0,297.4,308.4,1573,34.5,205,0
0,296.5,307.3,1579,34.5,166,0
0,298.4,308.6,1569,34.4,160,1
1,297.5,309.4,1678,34.4,148,0
0,298.9,308.5,1559,34.3,126,1
0,297.6,308.3,1595,34.3,41,1
0,297.6,308.3,1658,34.3,59,1
0,297.6,309.3,1543,34.3,8,0
0,297.6,308.4,1517,34.2,66,1
0,297.4,308.8,1640,34.2,142,0
0,298.9,308.7,1572,34.1,80,1
0,298.9,308.7,1564,34.1,99,1
1,297,307.8,1579,34.1,94,0
0,298.5,308.7,1575,33.9,128,1
1,298,309.9,1565,33.9,40,0
0,297.9,309.9,1542,33.8,33,0
1,298.2,308,1591,33.7,32,1
1,298.1,308.3,1680,33.7,185,1
0,297.4,309,1568,33.7,175,0
1,297.6,309.7,1541,33.7,165,0
0,298.1,310,1534,33.7,47,0
0,297.7,308.9,1516,33.7,92,0
0,296.9,308.1,1555,33.7,229,0
0,298.5,308.4,1513,33.6,172,1
0,298.3,308.5,1606,33.6,67,1
0,297.9,308.1,1585,33.5,212,1
0,297.5,309.3,1623,33.4,74,0
0,297.6,309.4,1628,33.4,229,0
0,296.7,307.9,1579,33.4,50,0
1,296.9,308,1641,33.3,67,0
0,298.2,308.3,1589,33.2,94,1
0,297.8,308.4,1714,33.2,177,1
0,297.4,309.2,1620,33.2,28,0
1,297.7,309,1656,33.2,20,0
0,297.6,309.5,1623,33.1,224,0
0,297.6,309.2,1611,33.1,155,0
0,298.8,308.6,1599,33,101,1
0,297.5,308.3,1585,32.9,32,1
0,298.4,308.5,1741,32.8,112,1
0,298.1,309.9,1563,32.8,51,0
0,298.9,308.8,1529,32.7,53,1
0,298.9,308.8,1621,32.7,75,1
0,298,308.3,1662,32.7,0,1
1,297.3,308.8,1586,32.7,131,0
0,298.4,308.2,1612,32.6,10,1
1,297.4,308.2,1530,32.6,22,1
0,296.9,307.9,1547,32.6,79,0
1,298.9,309.3,1632,32.5,55,1
0,298.9,309.3,1665,32.5,93,0
0,297.8,308.4,1518,32.5,190,1
0,297.4,308.4,1588,32.5,207,0
0,298.1,309.9,1629,32.5,45,0
1,296.7,307.4,1533,32.5,182,0
0,298.8,308.9,1527,32.4,189,0
0,296.9,308.4,1557,32.4,173,0
0,298.9,309,1601,32.3,202,1
